iter	Logloss
0	0.6919155951
1	0.6896283528
2	0.6884165964
3	0.6863943943
4	0.6843448632
5	0.6826278287
6	0.680892645
7	0.6790182991
8	0.6771465889
9	0.6754524818
10	0.6733398203
11	0.6716721675
12	0.6700175571
13	0.6689084368
14	0.6678063518
15	0.666209502
16	0.6645865098
17	0.6627724676
18	0.6611840628
19	0.659161959
20	0.6571960263
21	0.6556466358
22	0.6546144604
23	0.652948486
24	0.6519318378
25	0.6498250912
26	0.6483570416
27	0.6464009848
28	0.6449298081
29	0.6433540978
30	0.6413325315
31	0.6396792768
32	0.6380020008
33	0.6365923905
34	0.6349027592
35	0.6330647729
36	0.6311525025
37	0.6302387379
38	0.6285583774
39	0.6276619938
40	0.6262009023
41	0.6248770494
42	0.6230695992
43	0.6216169001
44	0.6207562514
45	0.619407998
46	0.618077699
47	0.6162314372
48	0.6144306998
49	0.6130506558
50	0.6114346166
51	0.6106233706
52	0.6098179177
53	0.6081105317
54	0.606487126
55	0.6049947425
56	0.6033711831
57	0.6022062855
58	0.6010505667
59	0.5994801965
60	0.5981110858
61	0.5964270698
62	0.5956872453
63	0.5939969514
64	0.5931961662
65	0.5917461591
66	0.5901822661
67	0.5886630217
68	0.5871748561
69	0.586121057
70	0.5848640458
71	0.5836947065
72	0.5822547316
73	0.580755284
74	0.5792147936
75	0.5779992136
76	0.5765842469
77	0.5756204173
78	0.5745439607
79	0.5735759653
80	0.5727675932
81	0.5715933861
82	0.5706248314
83	0.5700050796
84	0.5690703743
85	0.5678871952
86	0.5668780284
87	0.5656314513
88	0.5645678371
89	0.5631807383
90	0.5625956016
91	0.5616109441
92	0.5604612982
93	0.5592252634
94	0.5578568683
95	0.5566216512
96	0.55603436
97	0.555126218
98	0.5541636113
99	0.5528958203
100	0.5519204059
101	0.5513861153
102	0.5504950547
103	0.5492181081
104	0.548237957
105	0.5470156287
106	0.5465032992
107	0.5452796589
108	0.5444788115
109	0.543535788
110	0.5426550318
111	0.5416076419
112	0.54034078
113	0.5397502069
114	0.5386911075
115	0.5375839767
116	0.5367392444
117	0.5359105897
118	0.5354461535
119	0.5346025371
120	0.533735493
121	0.5329689226
122	0.5324531341
123	0.5315353528
124	0.5310922584
125	0.5302406136
126	0.5292483206
127	0.5283255712
128	0.5278553112
129	0.52742927
130	0.5266411226
131	0.525615016
132	0.525199056
133	0.5242900839
134	0.5235472125
135	0.5225289975
136	0.5221265114
137	0.5213053435
138	0.5202897366
139	0.5196800482
140	0.519086364
141	0.5183116214
142	0.5176454025
143	0.5171954989
144	0.5162962321
145	0.515725064
146	0.5151460474
147	0.5144928832
148	0.5136548694
149	0.513031839
150	0.5120165437
151	0.5113731422
152	0.5109917857
153	0.5100996878
154	0.5094554957
155	0.5084836259
156	0.5078941734
157	0.5070686078
158	0.5065447878
159	0.5057727085
160	0.5054418889
161	0.5046188227
162	0.5038533654
163	0.5033184881
164	0.5028292861
165	0.502104066
166	0.5014116836
167	0.5009227469
168	0.5002800125
169	0.4997299295
170	0.4992523521
171	0.4986896542
172	0.498219286
173	0.4978614386
174	0.4975654222
175	0.4967338562
176	0.4964426889
177	0.4955666049
178	0.4950467392
179	0.4945454487
180	0.4940953942
181	0.4932706464
182	0.492992742
183	0.4927167702
184	0.4922934146
185	0.4918164682
186	0.4909730084
187	0.4902416186
188	0.4894832632
189	0.488834285
190	0.4884323808
191	0.4876814039
192	0.4868017761
193	0.4865472259
194	0.4860383807
195	0.4856641856
196	0.4854155896
197	0.484733492
198	0.4842236865
199	0.4833218373
200	0.4827483172
201	0.4821134598
202	0.4817480909
203	0.481138529
204	0.4806196177
205	0.4798864036
206	0.4791288793
207	0.4786604229
208	0.4778861628
209	0.4773199234
210	0.4766073808
211	0.4759089418
212	0.4755977315
213	0.4751718694
214	0.4747224832
215	0.4741709044
216	0.4734846732
217	0.4732289965
218	0.4727626166
219	0.4724447028
220	0.471771751
221	0.4713604103
222	0.4707757957
223	0.4702964822
224	0.4698605003
225	0.4694443863
226	0.4688317868
227	0.468523169
228	0.4680528324
229	0.4678149745
230	0.4673569535
231	0.4668770915
232	0.4663112048
233	0.4661274366
234	0.465552454
235	0.4652386112
236	0.4649498648
237	0.4645935306
238	0.4642948444
239	0.4639428974
240	0.4637687014
241	0.4632093041
242	0.4630378968
243	0.4626646041
244	0.4622558966
245	0.4619857663
246	0.461532392
247	0.4611894196
248	0.4607472509
249	0.4604809815
250	0.4602759848
251	0.4599656704
252	0.4596940485
253	0.4589741495
254	0.4584895585
255	0.4582149761
256	0.4575004166
257	0.4569501621
258	0.4563626937
259	0.456212927
260	0.4556857432
261	0.4554989274
262	0.4551853449
263	0.4550243182
264	0.4545722224
265	0.4542407693
266	0.4540503336
267	0.4539093272
268	0.4536541127
269	0.4531240852
270	0.452897267
271	0.4524284997
272	0.4521596016
273	0.4519668703
274	0.4516703609
275	0.4510653047
276	0.4507076683
277	0.45035639
278	0.4502269758
279	0.4500983744
280	0.4497402143
281	0.449561344
282	0.4491991115
283	0.4489658803
284	0.4484700226
285	0.4480286725
286	0.4475403043
287	0.4469139884
288	0.4463524255
289	0.4457951804
290	0.4452641803
291	0.4448101761
292	0.4444523855
293	0.4440434295
294	0.4436189671
295	0.4434763725
296	0.443326615
297	0.4430398315
298	0.442478719
299	0.44219247
300	0.4416704243
301	0.4411885461
302	0.4408169704
303	0.4402678771
304	0.4401623833
305	0.4400322214
306	0.439555878
307	0.4392181374
308	0.4388160397
309	0.4387146692
310	0.438302811
311	0.4379055703
312	0.4375392283
313	0.4372143945
314	0.4369092377
315	0.43647102
316	0.436375022
317	0.4362796234
318	0.4359631469
319	0.435639326
320	0.4355022933
321	0.4353248928
322	0.4350607178
323	0.4349529816
324	0.4345115288
325	0.4341083896
326	0.433691165
327	0.433223861
328	0.4331360681
329	0.433049602
330	0.4329019282
331	0.4326590342
332	0.4321564247
333	0.4318595049
334	0.4315898282
335	0.4314356779
336	0.4313529771
337	0.4311938196
338	0.4307805018
339	0.4306950593
340	0.4305388977
341	0.4302812729
342	0.4300414616
343	0.4297389278
344	0.4293222534
345	0.4290528756
346	0.4288024056
347	0.4283790433
348	0.4281567165
349	0.4280255291
350	0.427696299
351	0.4275997842
352	0.4271050606
353	0.4268527718
354	0.426700646
355	0.4263804746
356	0.4262633238
357	0.4259895149
358	0.4256051119
359	0.4255370153
360	0.4252906916
361	0.4251274349
362	0.4250044634
363	0.424920788
364	0.4245776524
365	0.424260477
366	0.4238670226
367	0.4234203778
368	0.4232229913
369	0.4227077124
370	0.4224273498
371	0.4221471556
372	0.4220845788
373	0.4219203242
374	0.4218356716
375	0.42160219
376	0.4212162313
377	0.4211070192
378	0.4209396148
379	0.4207628603
380	0.4203505932
