iter	MultiClass
129	0.7603463865
130	0.759122919
131	0.7576925513
132	0.7564653661
133	0.7557313226
134	0.7548864502
135	0.7542005747
136	0.7533814962
137	0.7526273405
138	0.7519630168
139	0.7511904267
140	0.7506375663
141	0.7497148567
142	0.7490040255
143	0.7483150768
144	0.7475264791
145	0.7465603958
146	0.7457916765
147	0.7449834139
148	0.744283982
149	0.7433768497
150	0.7427658822
151	0.7419865969
152	0.7412052973
153	0.7404875434
154	0.7398182105
155	0.738791658
156	0.7382645712
157	0.7374121745
158	0.7363875104
159	0.7353941073
160	0.7347834398
161	0.7340941521
162	0.73342363
163	0.73276244
164	0.7322065586
165	0.7316482816
166	0.7307680659
167	0.7301170866
168	0.7295026693
169	0.7287176089
170	0.7276224405
171	0.7268851999
172	0.7262468739
173	0.7255177541
174	0.7250725733
175	0.7245893685
176	0.7241033328
177	0.7235160189
178	0.7229349706
179	0.7221385161
180	0.7213992279
181	0.7206756427
182	0.7200611193
183	0.7193530827
184	0.7186110086
185	0.7182292508
186	0.7177513314
187	0.7173548435
188	0.7166290399
189	0.716036352
190	0.7153264664
191	0.7149683054
192	0.7144362111
193	0.7139506852
194	0.7134465786
195	0.7128648131
196	0.7124275257
197	0.711804244
198	0.7114310555
199	0.7108529147
200	0.7104003066
201	0.7095114638
202	0.7087765263
203	0.7083127906
204	0.7078130168
205	0.7071570189
206	0.7067905561
207	0.7063573158
208	0.7057095275
209	0.7052031456
210	0.7046917787
211	0.7042456065
212	0.7036575022
213	0.7032103005
214	0.7028794156
215	0.7023625967
216	0.7019195483
217	0.701346772
218	0.7007009897
219	0.7002893749
220	0.6999007966
221	0.699435002
222	0.6990324741
223	0.6985116217
224	0.6979795587
225	0.6975242631
226	0.696951518
227	0.6963524712
228	0.695906865
229	0.6955064373
230	0.6951103912
231	0.6946538042
232	0.6941440229
233	0.6935746574
234	0.6930328606
235	0.6925648325
236	0.6920474778
237	0.6916482779
238	0.6910833636
239	0.6902513985
240	0.6898297042
241	0.6894788266
242	0.6892249343
243	0.6888425382
244	0.6884635709
245	0.6881154033
246	0.6876777489
247	0.687225234
248	0.6870021612
249	0.6865265678
250	0.6861167741
251	0.6854552481
252	0.6847329639
253	0.6844163476
254	0.6839755211
255	0.6835344697
256	0.6829929781
257	0.6825296996
258	0.6820519565
259	0.6814916671
260	0.6810578272
261	0.680645276
262	0.6802272651
263	0.6797390166
264	0.6793933609
265	0.6789105846
266	0.6784956457
267	0.6779943908
268	0.6776513738
269	0.6771751415
270	0.6767741715
271	0.6765637856
272	0.676179384
273	0.6758203886
274	0.6755278717
275	0.6752531705
276	0.6749772219
277	0.6746910644
278	0.6744984772
279	0.6740194661
280	0.673552288
281	0.6731348333
282	0.6728637109
283	0.6725950714
284	0.6723343189
285	0.671991422
286	0.6717815442
287	0.6712235476
288	0.6708139649
289	0.6704457216
290	0.6700650049
291	0.6698009675
292	0.6694134186
293	0.6690981879
294	0.6688601602
295	0.6685543439
296	0.6682748238
297	0.6677093374
298	0.667145684
299	0.6668051723
300	0.6665305053
301	0.6662261549
302	0.665980667
303	0.6655563372
304	0.6651400835
305	0.6648760618
306	0.6646073045
307	0.6643063895
308	0.6639323503
309	0.6635397974
310	0.6632952181
311	0.6630122609
312	0.6627241761
313	0.6623051723
314	0.6618548307
315	0.6615599996
316	0.6610534561
317	0.660690521
318	0.6603469654
319	0.6601490705
320	0.6597342453
321	0.6593943735
322	0.6590995899
323	0.6588832354
324	0.6586233061
325	0.6581329606
326	0.657908805
327	0.6576436632
328	0.6574081606
329	0.657025219
330	0.6566634617
331	0.6564069146
332	0.6561201888
333	0.6558076841
334	0.6554923938
335	0.6552930176
336	0.6550922159
337	0.6547879704
338	0.6544686991
339	0.654042943
340	0.653829357
341	0.6533898723
342	0.6530856068
343	0.6528173799
344	0.6524900308
345	0.652189463
346	0.652075437
347	0.6518341786
348	0.6516028459
349	0.6513137097
350	0.6509598208
351	0.6507393711
352	0.6504742436
353	0.6502362142
354	0.6500022446
355	0.6497472187
356	0.6495283522
357	0.6492137006
358	0.6489393545
359	0.6486839516
360	0.648449918
361	0.6481422999
362	0.6478482139
363	0.6476425082
364	0.6472029728
365	0.6468454015
366	0.6466571884
367	0.6463928384
368	0.6460933639
369	0.6457685469
370	0.6455262219
371	0.645354114
372	0.6451143499
373	0.6448222593
374	0.644576364
375	0.6441084307
376	0.6437541445
377	0.6436065578
378	0.6432502305
379	0.6430327725
380	0.6427499063
381	0.64249521
382	0.6422816729
383	0.6421067037
384	0.641768977
385	0.6411899623
386	0.6408375704
387	0.6405661876
388	0.6403284653
389	0.6400429272
390	0.639794591
391	0.6395024367
392	0.6391996262
393	0.6390027513
394	0.6386211189
395	0.6382673051
396	0.6380907361
397	0.6378415441
398	0.6375730601
399	0.6373640989
400	0.6371113263
401	0.6366697808
402	0.636506424
403	0.6362671208
404	0.635859738
405	0.6355564234
406	0.6352815057
407	0.6350684644
408	0.6347215622
409	0.6344953009
410	0.6342999834
411	0.6339836233
412	0.6338093048
413	0.6334308843
414	0.6332807524
415	0.6328152743
416	0.6325866047
417	0.6323146105
418	0.6321787271
419	0.6318071789
420	0.6316189642
421	0.6314552218
422	0.6312598956
423	0.6310297812
424	0.6307476738
425	0.6305476227
426	0.6303310423
427	0.6301711158
428	0.6299616745
429	0.6297222823
430	0.6294350286
431	0.6291736186
432	0.6289272602
433	0.6287670208
434	0.6286010383
435	0.628360623
436	0.6280667784
437	0.6278691984
438	0.627600553
439	0.6273637992
440	0.6271054812
441	0.6269837258
442	0.6267391552
443	0.6266215008
444	0.6263678972
445	0.6261586785
446	0.6259501137
447	0.6255515101
448	0.6253257687
449	0.6251742491
450	0.6247561532
451	0.6245366822
452	0.6243744038
453	0.6242200308
454	0.6240825281
455	0.6238330125
456	0.6235110201
457	0.6233250933
458	0.6231480209
459	0.6229200083
460	0.6227533669
461	0.622541146
462	0.6223871351
463	0.622140822
464	0.6219995526
465	0.6217728689
466	0.621582824
467	0.6213907213
468	0.6213131736
469	0.621052823
470	0.6206837744
471	0.6204062318
472	0.6201132827
473	0.6198389824
474	0.6195165899
475	0.6193436522
476	0.6191343065
477	0.6188254616
478	0.6182754022
479	0.6180074466
480	0.6179080922
481	0.6175191914
482	0.6172678052
483	0.6171268264
484	0.6169468461
485	0.6167202055
486	0.6164975087
487	0.6164178238
488	0.6162885425
489	0.6161555956
490	0.6158891436
491	0.615698285
492	0.6153184255
493	0.6150924945
494	0.6149001863
495	0.6145242852
496	0.6143187182
497	0.6140693485
498	0.6139275683
499	0.6138354721
500	0.6136364657
501	0.613451204
502	0.6131962711
503	0.6129646965
504	0.6125576544
505	0.6124031211
506	0.6122951924
507	0.6120287966
508	0.6119043683
509	0.6115547519
510	0.6113971977
511	0.6110837471
512	0.6109154088
513	0.610682843
514	0.6105074425
515	0.6103732051
516	0.6102191797
517	0.6100489056
518	0.6098210693
519	0.6096615786
520	0.6095058025
521	0.6093562017
522	0.6091238175
523	0.6089767462
524	0.6088033941
525	0.6085540364
526	0.6084276497
527	0.6082119693
528	0.6079907711
529	0.6078277509
530	0.6076779323
531	0.607496527
532	0.6072969878
533	0.6070918215
534	0.6069165496
535	0.6066609373
536	0.6064748187
537	0.6063133065
538	0.6060509956
539	0.6058942986
540	0.6057647998
541	0.6055471356
542	0.6054376094
543	0.6052679666
544	0.6050178133
545	0.604811281
546	0.6045350374
547	0.6044375829
548	0.6042165978
549	0.6039619067
550	0.6037532189
551	0.6035470917
552	0.6034610708
553	0.6033353406
554	0.6031693764
555	0.6029973854
556	0.6029321217
557	0.6027151409
558	0.6025806686
559	0.6024557922
560	0.6022335903
561	0.6021004578
562	0.6019743112
563	0.6017898374
564	0.6016201386
565	0.6014654988
566	0.6013192478
567	0.6011290838
568	0.6010078385
569	0.6008387344
570	0.6005054513
571	0.6002890843
572	0.6000780535
573	0.5997594617
574	0.59965109
575	0.5994630027
576	0.5993138702
577	0.5989473822
578	0.5987916242
579	0.5986203718
580	0.5984394583
581	0.5982652059
582	0.5980708608
583	0.5979753618
584	0.5977971104
585	0.5975972468
586	0.5973525051
587	0.5971878375
588	0.5970507122
589	0.5969036165
590	0.5967941562
591	0.5965865403
592	0.5965481801
593	0.5962914195
594	0.5959971174
595	0.5958397248
596	0.5956168991
597	0.5955174438
598	0.5953998139
599	0.5952805162
600	0.5951517384
601	0.5949198687
602	0.5947509354
603	0.5946000121
604	0.5942947344
605	0.5940767474
606	0.5939670872
607	0.593703918
608	0.5935183081
609	0.5933979832
610	0.5932418121
611	0.5930757243
612	0.5928721787
613	0.5926727904
614	0.5924285234
615	0.5922911463
616	0.5921451306
617	0.5920266619
618	0.5918823783
619	0.5917489764
620	0.5915864804
621	0.5914196171
622	0.591199412
623	0.5910641558
624	0.5908556301
625	0.5906196743
626	0.5904677548
627	0.5902589899
628	0.5901089603
629	0.5899544356
630	0.5898270233
631	0.5896861226
632	0.589556486
633	0.5893799173
634	0.5892841346
635	0.5891772004
636	0.5890151068
637	0.5887833548
638	0.588585276
639	0.5884072091
640	0.5882019402
641	0.5880229324
642	0.5878672542
643	0.5877008977
644	0.5874750251
645	0.587318419
646	0.5871706379
647	0.5870948558
648	0.5869333373
649	0.5867926819
650	0.5865944961
651	0.5863298912
652	0.5861613599
653	0.5860050026
654	0.585853155
655	0.5857182087
656	0.5855391372
657	0.5853648115
658	0.5851347837
659	0.5850592844
660	0.5849576983
661	0.5847596648
662	0.5846596538
663	0.5845045642
664	0.5844034105
665	0.5842225761
666	0.5840975491
667	0.5838264242
668	0.5836829084
669	0.5834399959
670	0.5832967271
671	0.5830374085
672	0.5828597764
673	0.5826206597
674	0.5823879045
675	0.5822827636
676	0.5821958776
677	0.5820376403
678	0.581796067
679	0.5816227187
680	0.5814684667
681	0.5813615073
682	0.5811323427
683	0.5810083055
684	0.5808836705
685	0.5806936736
686	0.5805847528
687	0.5804901513
688	0.5803404326
689	0.5802690354
690	0.5799526835
691	0.579835132
692	0.5796722863
693	0.5795566382
694	0.5795163631
695	0.5793380509
696	0.5792075816
697	0.5790056126
698	0.5789239913
699	0.578758856
700	0.5786246215
701	0.5784666232
702	0.5783386811
703	0.5782148867
704	0.5781172247
705	0.5779874461
706	0.577913819
707	0.5776802404
708	0.5775470239
709	0.5774607855
710	0.5771485531
711	0.5770338244
712	0.576891989
713	0.5767642978
714	0.5766098459
715	0.5765517914
716	0.5764533538
717	0.5761697285
718	0.5759860593
719	0.5757484751
720	0.5756223622
721	0.5754500122
722	0.5752620449
723	0.5751441195
724	0.57499123
725	0.5748828025
726	0.5747364893
727	0.5745728306
728	0.5744096478
729	0.5742556576
730	0.5741691111
731	0.5739899953
732	0.5737954936
733	0.5736391526
734	0.5735501501
735	0.5733148862
736	0.5730698921
737	0.5729142828
738	0.5726941037
739	0.5726327023
740	0.5724759343
741	0.5723798753
742	0.5722618294
743	0.5720999629
744	0.5719565345
745	0.5717899743
746	0.57166098
747	0.5714780147
748	0.5712887979
749	0.5711795534
750	0.5710673171
751	0.5709749045
752	0.5708250616
753	0.5706691519
754	0.5705471439
755	0.5703906714
756	0.5702714103
757	0.5700392604
758	0.5698803252
759	0.5696963323
760	0.5695498026
761	0.5693148116
762	0.56914429
763	0.5690214714
764	0.5687638417
765	0.568582663
766	0.5684679581
767	0.5683371554
768	0.5682094514
769	0.5680526525
770	0.5678430666
771	0.5677085459
772	0.5675735242
773	0.5674304902
774	0.5673507241
775	0.5673087563
776	0.5671697933
777	0.5670720181
778	0.5669458212
779	0.566885738
780	0.566793342
781	0.5666599849
782	0.5665130734
783	0.5662628659
784	0.5660871689
785	0.5660118594
786	0.5659292037
787	0.5656973602
788	0.5655551971
789	0.5654705967
790	0.5653373343
791	0.5651966931
792	0.5651072736
793	0.5649436899
794	0.5648123493
795	0.5646794749
796	0.5645239712
797	0.5643672323
798	0.5641609527
799	0.5639985931
800	0.5639423025
801	0.5637706693
802	0.5636033072
803	0.5634656805
804	0.5633393703
805	0.5631575371
806	0.5630162921
807	0.5628571002
808	0.562775408
809	0.5626352822
810	0.5625259508
811	0.5623724397
812	0.5622669451
813	0.5621694311
814	0.5620345742
815	0.5619701582
816	0.5618878559
817	0.5618041587
818	0.561699503
819	0.5616097323
820	0.5614487575
821	0.561367849
822	0.5612389699
823	0.5611123893
824	0.5610563922
825	0.5609370031
826	0.5608280197
827	0.5607519863
828	0.5606840077
829	0.5605021207
830	0.5604082274
831	0.5603348506
832	0.5602263537
833	0.5601448165
834	0.5600754268
835	0.5600016737
836	0.5598416432
837	0.5596947477
838	0.5595869838
839	0.5594340452
840	0.5592976982
841	0.5592017895
842	0.5590430903
843	0.5589291917
844	0.5588549491
845	0.5587274218
846	0.5585413994
847	0.5584372383
848	0.5583321709
849	0.5581984793
850	0.5580922255
851	0.557964591
852	0.5578344064
853	0.5576897739
854	0.5576232937
855	0.5574910863
856	0.557314351
857	0.5571570121
858	0.5570727755
859	0.5570129537
860	0.5568036887
861	0.556636329
862	0.5564447102
863	0.5563283054
864	0.5562736954
865	0.5561699047
866	0.5560618664
867	0.5559072203
868	0.5557822583
869	0.5556741619
870	0.5556248521
871	0.5555464033
872	0.5553611946
873	0.5553048122
874	0.555181719
875	0.5550429756
876	0.5549059507
877	0.5548260347
878	0.5546776055
879	0.5545421352
880	0.5544085314
881	0.5543122501
882	0.5542349534
883	0.5540466224
884	0.5539960475
885	0.5538357799
886	0.5537051525
887	0.5536506509
888	0.5535381813
889	0.5534495362
890	0.5533001327
891	0.5531566224
892	0.5530225488
893	0.5529299737
894	0.5528012801
895	0.5527218217
896	0.5525751003
897	0.5524365497
898	0.5523346354
899	0.5522144699
900	0.5521243398
901	0.5520303444
902	0.5518902625
903	0.5518102296
904	0.5517328911
905	0.551703057
906	0.5516711963
907	0.5515772974
908	0.5513538251
909	0.5512233757
910	0.5511021172
911	0.5510273561
912	0.5509186118
913	0.5507984916
914	0.5506950835
915	0.5506498333
916	0.5504554597
917	0.5503448637
918	0.5502542269
919	0.5501123281
920	0.5500234783
921	0.5498739752
922	0.5497816043
923	0.549748035
924	0.5496620245
925	0.549533251
926	0.5494040085
927	0.5493111451
928	0.5492022385
929	0.5490311348
930	0.5489794359
931	0.5488125507
932	0.5487085892
933	0.5485891315
934	0.5485167129
935	0.5484171021
936	0.5482969796
937	0.548126987
938	0.5479236434
939	0.5477431688
940	0.5476870394
941	0.5475772985
942	0.5475133429
943	0.547372187
944	0.5472324738
945	0.5471657803
946	0.5470668631
947	0.5468959696
948	0.5467922102
949	0.5467406552
950	0.5464805071
951	0.5463827997
952	0.5462111886
953	0.5461100463
954	0.5459905449
955	0.5458090163
956	0.5457583294
957	0.5456326392
958	0.5455259082
959	0.5454114506
960	0.5453596258
961	0.5451974912
962	0.5450655333
963	0.544935748
964	0.5448677484
965	0.5446969153
966	0.544523321
967	0.5444385769
968	0.5443235546
969	0.5442066846
970	0.5440199931
971	0.5439781158
972	0.543848916
973	0.5437301697
974	0.5436136554
975	0.5434138075
976	0.5432321267
977	0.5431332656
978	0.5430768299
979	0.5428176076
980	0.542749786
981	0.5424138004
982	0.5423412793
983	0.5421883037
984	0.5419612843
985	0.541882521
986	0.5418027287
987	0.5417132247
988	0.5416380443
989	0.5416016367
990	0.5414699845
991	0.5413351299
992	0.5411892213
993	0.5410866456
994	0.5409596269
995	0.5407823994
996	0.5406128278
997	0.5404728986
998	0.5403654657
999	0.5402358614
